SEQ,TAX
Otu000065,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000066,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000067,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000068,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas
Otu000069,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000070,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000071,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000072,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000073,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea
Otu000074,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_XlVb
Otu000075,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter
Otu000076,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae
Otu000077,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia
Otu000078,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000079,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000080,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus
Otu000081,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae
Otu000082,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Otu000083,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
Otu000084,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000085,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus
Otu000086,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus
Otu000087,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae
Otu000088,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
Otu000089,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella
Otu000090,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_XlVb
Otu000091,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus2
Otu000092,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus2
Otu000093,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000094,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter
Otu000095,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000096,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
Otu000097,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000098,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter
Otu000099,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000100,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000101,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000102,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia
Otu000103,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000104,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000105,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000106,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor
Otu000107,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000108,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000109,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
Otu000110,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000111,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000112,Bacteria
Otu000113,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000114,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
Otu000115,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae
Otu000116,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000117,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
Otu000118,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000119,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000120,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella
Otu000121,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000122,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides
Otu000123,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
Otu000124,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000125,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000126,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000127,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera
Otu000128,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium_IV
Otu000129,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000130,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus2
Otu000131,Bacteria;Bacteroidetes
Otu000132,Bacteria;Firmicutes
Otu000133,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000134,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000135,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000136,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas
Otu000137,Bacteria;Firmicutes
Otu000138,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000139,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto
Otu000140,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000141,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000142,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000143,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000144,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus
Otu000145,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000146,Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Collinsella
Otu000147,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000148,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides
Otu000149,Bacteria;Proteobacteria;Betaproteobacteria
Otu000150,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000151,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000152,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia
Otu000153,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
Otu000154,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea
Otu000155,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000156,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto
Otu000157,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000158,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas
Otu000159,Bacteria
Otu000160,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000161,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000162,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000163,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000164,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000165,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000166,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium
Otu000167,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000168,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
Otu000169,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae
Otu000170,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae
Otu000171,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000172,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000173,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000174,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000175,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000176,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridium_XI
Otu000177,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000178,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000179,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus
Otu000180,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000181,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000182,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella
Otu000183,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000184,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas
Otu000185,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000186,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000187,Bacteria
Otu000188,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Clostridium_XVIII
Otu000189,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus
Otu000190,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000191,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000192,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000193,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000194,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000195,Bacteria
Otu000196,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
Otu000197,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides
Otu000198,Bacteria
Otu000199,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae
Otu000200,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000201,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Otu000202,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000203,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium
Otu000204,Bacteria;Firmicutes
Otu000205,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000206,Bacteria
Otu000207,Bacteria
Otu000208,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium
Otu000209,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000210,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter
Otu000211,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000212,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000213,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000214,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000215,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000216,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000217,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000218,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000219,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000220,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000221,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000222,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000223,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae
Otu000224,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Mitsuokella
Otu000225,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella
Otu000226,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000227,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000228,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000229,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000230,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
Otu000231,Bacteria
Otu000232,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000233,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000234,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000235,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000236,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_XlVa
Otu000237,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000238,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000239,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000240,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000241,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000242,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000243,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000244,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000245,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000246,Bacteria;Firmicutes;Clostridia
Otu000247,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
Otu000248,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000249,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000250,Bacteria
Otu000251,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia
Otu000252,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000253,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae
Otu000254,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000255,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000256,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000257,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides
Otu000258,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus
Otu000259,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000260,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000261,Bacteria;Proteobacteria
Otu000262,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000263,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Otu000264,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000265,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000266,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000267,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000268,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000269,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000270,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000271,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000272,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000273,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000274,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000275,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000276,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000277,Bacteria
Otu000278,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000279,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae
Otu000280,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000281,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus
Otu000282,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000283,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter
Otu000284,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000285,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter
Otu000286,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
Otu000287,Bacteria;Firmicutes
Otu000288,Bacteria
Otu000289,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000290,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus
Otu000291,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter
Otu000292,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000293,Bacteria;Firmicutes;Clostridia;Clostridiales
Otu000294,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000295,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Otu000296,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000297,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000298,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000299,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Otu000300,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
Otu000301,Bacteria;Firmicutes
Otu000302,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridium_XI
Otu000303,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
