k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__[Entotheonellales]
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales
k__Bacteria; p__Proteobacteria; c__Zetaproteobacteria; o__Mariprofundales
k__Bacteria; p__SAR406; c__AB16; o__Arctic96B-7
k__Bacteria; p__SBR1093; c__; o__
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales
k__Bacteria; p__TM6; c__SBRH58; o__
k__Bacteria; p__TM6; c__SJA-4; o__
k__Bacteria; p__TM6; c__SJA-4; o__S1198
k__Bacteria; p__TM7; c__; o__
k__Bacteria; p__TM7; c__SC3; o__
k__Bacteria; p__TM7; c__TM7-3; o__
k__Bacteria; p__TM7; c__TM7-3; o__CW040
k__Bacteria; p__TM7; c__TM7-3; o__EW055
k__Bacteria; p__TM7; c__TM7-3; o__I025
k__Bacteria; p__Tenericutes; c__Mollicutes; o__
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Acholeplasmatales
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28
k__Bacteria; p__Thermotogae; c__Thermotogae; o__Thermotogales
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales
k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__
k__Bacteria; p__WPS-2; c__; o__
k__Bacteria; p__WS4; c__; o__
k__Bacteria; p__ZB3; c__BS119; o__
