BACTERIA_NUMBER,BACTERIA,ALGORITHM,RHO,P_VALUE,PARAMS
2,k__Bacteria; p__; c__; o__; f__,svr,0.11016893034634594,0.5286814520082099,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
2,k__Bacteria; p__; c__; o__; f__,decision tree,0.15094738180143058,0.3867316554512984,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
2,k__Bacteria; p__; c__; o__; f__,random forest,-0.19952340090099,0.25050339550385026,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
3,k__Bacteria; p__Acidobacteria; c__AT-s2-57; o__; f__,linear regression,-0.25,0.5887244480896833,
3,k__Bacteria; p__Acidobacteria; c__AT-s2-57; o__; f__,ridge regression,-0.3571428571428572,0.4316113520383278,
3,k__Bacteria; p__Acidobacteria; c__AT-s2-57; o__; f__,ard regression,-0.8214285714285715,0.023448808345691505,
3,k__Bacteria; p__Acidobacteria; c__AT-s2-57; o__; f__,svr,-0.03238697899880028,0.853469305297687,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
3,k__Bacteria; p__Acidobacteria; c__AT-s2-57; o__; f__,decision tree,-0.04022747410899365,0.8185280740277892,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
3,k__Bacteria; p__Acidobacteria; c__AT-s2-57; o__; f__,random forest,-0.2462662588155049,0.15384223830110538,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
4,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae,linear regression,0.2142857142857144,0.6445115810207203,
4,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae,ridge regression,0.14285714285714288,0.7599453002180929,
4,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae,ard regression,-0.7500000000000002,0.05218140045705776,
4,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae,svr,0.08594466721326655,0.6234973489519422,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
4,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae,decision tree,-0.09733647969500486,0.5780326296186837,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
4,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae,random forest,-0.06490505252800531,0.7110627081737075,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
5,k__Bacteria; p__Acidobacteria; c__BPC102; o__B110; f__,linear regression,-0.3571428571428572,0.4316113520383278,
5,k__Bacteria; p__Acidobacteria; c__BPC102; o__B110; f__,ridge regression,-0.3214285714285715,0.4820720382996776,
5,k__Bacteria; p__Acidobacteria; c__BPC102; o__B110; f__,ard regression,0.10714285714285716,0.8191508555699912,
5,k__Bacteria; p__Acidobacteria; c__BPC102; o__B110; f__,svr,-0.2104600314493225,0.22492792688829752,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
5,k__Bacteria; p__Acidobacteria; c__BPC102; o__B110; f__,decision tree,-0.2276046413456552,0.18852274715902792,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
5,k__Bacteria; p__Acidobacteria; c__BPC102; o__B110; f__,random forest,0.14815338343013698,0.3956826104199333,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
6,k__Bacteria; p__Acidobacteria; c__OS-K; o__; f__,linear regression,-0.07142857142857144,0.8790481931481541,
6,k__Bacteria; p__Acidobacteria; c__OS-K; o__; f__,ridge regression,-0.10714285714285716,0.8191508555699912,
6,k__Bacteria; p__Acidobacteria; c__OS-K; o__; f__,ard regression,0.07142857142857144,0.8790481931481541,
6,k__Bacteria; p__Acidobacteria; c__OS-K; o__; f__,svr,-0.11831504175731425,0.4984540400416859,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
6,k__Bacteria; p__Acidobacteria; c__OS-K; o__; f__,decision tree,-0.0032977827673309,0.9849995230944012,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
6,k__Bacteria; p__Acidobacteria; c__OS-K; o__; f__,random forest,-0.21018696394642827,0.2255439726897529,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
7,k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__,linear regression,0.2857142857142857,0.5345092286010406,
7,k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__,ridge regression,0.2857142857142857,0.5345092286010406,
7,k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__,ard regression,0.2142857142857144,0.6445115810207203,
7,k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__,svr,0.018780663335999648,0.9147238847434522,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
7,k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__,decision tree,-0.10246880558116822,0.5580483298373662,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
7,k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__,random forest,0.03141658068902327,0.8578144333792828,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
8,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__,linear regression,0.2857142857142857,0.5345092286010406,
8,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__,ridge regression,0.2857142857142857,0.5345092286010406,
8,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__,ard regression,0.2142857142857144,0.6445115810207203,
8,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__,svr,0.1732119515667131,0.3197033372961267,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
8,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__,decision tree,-0.10980144558000923,0.5300657200512982,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
8,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__,random forest,-0.1060086288989202,0.544454536576818,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
9,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075,linear regression,0.39285714285714296,0.3833168704269727,
9,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075,ridge regression,0.39285714285714296,0.3833168704269727,
9,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075,ard regression,0.1785714285714286,0.7016579425162729,
9,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075,svr,-0.20172434252224547,0.24520715293193845,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
9,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075,decision tree,-0.02651515177608436,0.879821728949175,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
9,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075,random forest,-0.2676670220098312,0.1200534779434635,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
10,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__,linear regression,0.4642857142857144,0.2939341076002517,
10,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__,ridge regression,0.4642857142857144,0.2939341076002517,
10,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__,ard regression,0.5714285714285715,0.1802019889115274,
10,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__,svr,-0.07039691485266555,0.6877960736044213,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
10,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__,decision tree,-0.055048456936317616,0.7534589030005362,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
10,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__,random forest,0.17134054525720993,0.3250399259219252,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
11,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__AKIW874,linear regression,-0.7500000000000002,0.05218140045705776,
11,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__AKIW874,ridge regression,-0.8571428571428573,0.01369732661532562,
11,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__AKIW874,ard regression,-0.5714285714285715,0.1802019889115274,
11,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__AKIW874,svr,-0.08133439766986263,0.6423064292958214,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
11,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__AKIW874,decision tree,0.09627134089065108,0.5822199314480696,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
11,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__AKIW874,random forest,0.2283632961141795,0.1870138954328168,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
12,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017,linear regression,0.0,1.0,
12,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017,ridge regression,0.0,1.0,
12,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017,ard regression,-0.14285714285714288,0.7599453002180929,
12,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017,svr,0.09172514939476448,0.6002419848504825,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
12,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017,decision tree,0.3101608224312091,0.06978421024811343,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
12,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017,random forest,-0.08339759994411686,0.6338609617844115,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
13,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__JdFBGBact,linear regression,0.14285714285714288,0.7599453002180929,
13,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__JdFBGBact,ridge regression,0.14285714285714288,0.7599453002180929,
13,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__JdFBGBact,ard regression,-0.2142857142857144,0.6445115810207203,
13,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__JdFBGBact,svr,-0.16406835127674524,0.3462983392703565,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
13,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__JdFBGBact,decision tree,-0.04559829819915447,0.7947856367781175,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
13,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__JdFBGBact,random forest,-0.005047675637691946,0.9770415959156156,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
14,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__koll13,linear regression,-0.2857142857142857,0.5345092286010406,
14,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__koll13,ridge regression,-0.2857142857142857,0.5345092286010406,
14,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__koll13,ard regression,0.14285714285714288,0.7599453002180929,
14,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__koll13,svr,-0.09580597742382348,0.5840536110019476,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
14,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__koll13,decision tree,-0.13433296670293549,0.44168007495311423,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
14,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__koll13,random forest,0.02735694112414905,0.87603534545829,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
15,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__,linear regression,-0.6428571428571429,0.11939237342741095,
15,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__,ridge regression,-0.6785714285714287,0.0937502539598313,
15,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__,ard regression,0.0,1.0,
15,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__,svr,0.051871607761885034,0.7672828680737629,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
15,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__,decision tree,0.10534812837521093,0.5469790629535158,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
15,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__,random forest,-0.16714588048612813,0.3372010557458873,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
16,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1,linear regression,0.4642857142857144,0.2939341076002517,
16,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1,ridge regression,0.39285714285714296,0.3833168704269727,
16,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1,ard regression,-0.6071428571428572,0.1482311614811614,
16,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1,svr,-0.11604595297209044,0.5067847835848314,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
16,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1,decision tree,-0.19614381845272444,0.2587831317509701,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
16,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1,random forest,0.1782235017599571,0.3056831662180705,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
17,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae,linear regression,-0.39285714285714296,0.3833168704269727,
17,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae,ridge regression,-0.39285714285714296,0.3833168704269727,
17,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae,ard regression,-0.6785714285714287,0.0937502539598313,
17,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae,svr,0.32078020622212944,0.0602672684616843,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
17,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae,decision tree,-0.07597247577587417,0.6644598789002454,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
17,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae,random forest,0.17287075803255736,0.3206722027954638,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
18,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Bogoriellaceae,linear regression,-0.7857142857142859,0.03623846267982713,
18,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Bogoriellaceae,ridge regression,-0.9285714285714288,0.0025194724037946874,
18,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Bogoriellaceae,ard regression,-0.5357142857142858,0.2152174556780128,
18,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Bogoriellaceae,svr,-0.002804461081982016,0.9872432749649832,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
18,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Bogoriellaceae,decision tree,-0.07537900130411243,0.6669296007970494,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
18,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Bogoriellaceae,random forest,-0.3125657947485388,0.06753215264219146,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
19,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae,linear regression,0.0,1.0,
19,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae,ridge regression,0.10714285714285716,0.8191508555699912,
19,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae,ard regression,0.2857142857142857,0.5345092286010406,
19,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae,svr,-0.05003505082799906,0.7753072311693459,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
19,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae,decision tree,-0.36160664429797584,0.03280833551353743,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
19,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae,random forest,0.3681740556313833,0.02954570118762283,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
20,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae,linear regression,0.07142857142857144,0.8790481931481541,
20,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae,ridge regression,0.07142857142857144,0.8790481931481541,
20,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae,ard regression,-0.1785714285714286,0.7016579425162729,
20,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae,svr,-0.4219607904216547,0.011574879053376128,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
20,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae,decision tree,-0.2364452601971148,0.1714657444352259,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
20,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae,random forest,-0.1862554426563522,0.284037668646656,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
21,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae,linear regression,0.25,0.5887244480896833,
21,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae,ridge regression,0.25,0.5887244480896833,
21,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae,ard regression,-0.03571428571428572,0.9394082054712856,
21,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae,svr,-0.09453024725179322,0.589093491404536,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
21,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae,decision tree,0.07813816420748243,0.6554770470741974,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
21,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae,random forest,0.05397451077925874,0.7581239573249782,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
22,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae,linear regression,0.3214285714285715,0.4820720382996776,
22,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae,ridge regression,0.3214285714285715,0.4820720382996776,
22,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae,ard regression,-0.25,0.5887244480896833,
22,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae,svr,0.11498290436126266,0.5107115249836018,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
22,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae,decision tree,-0.07425608275518279,0.6716119973030843,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
22,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae,random forest,0.09330729707902193,0.5939427437193184,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
23,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermacoccaceae,linear regression,-0.14285714285714288,0.7599453002180929,
23,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermacoccaceae,ridge regression,-0.10714285714285716,0.8191508555699912,
23,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermacoccaceae,ard regression,-0.07142857142857144,0.8790481931481541,
23,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermacoccaceae,svr,0.10139550405672557,0.5622009362019564,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
23,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermacoccaceae,decision tree,0.09887642009790873,0.5720027854556806,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
23,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermacoccaceae,random forest,-0.2648813491932014,0.1241066708679108,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
24,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae,linear regression,0.1785714285714286,0.7016579425162729,
24,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae,ridge regression,0.1785714285714286,0.7016579425162729,
24,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae,ard regression,-0.2857142857142857,0.5345092286010406,
24,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae,svr,-0.020190699573687985,0.9083474166591321,{'kernel': 'linear'; 'gamma': 'auto'; 'C': 0.01}
24,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae,decision tree,0.059644938518975676,0.7335911845427879,{'max_features': 2; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
24,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae,random forest,-0.27423779619763355,0.1108854065593933,{'max_depth': 5; 'min_samples_split': 4; 'n_estimators': 50; 'min_samples_leaf': 2}
25,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Frankiaceae,linear regression,0.2857142857142857,0.5345092286010406,
