column_name,control_no_diagnosis,control_with_diagnosis,exposed_no_diagnosis,exposed_with_diagnosis
drd4a.mother,0.5413,0.5217,0.5263,0.619
drd4b.mother,0.5413,0.5217,0.5263,0.619
http.mother,0.5413,0.5217,0.5263,0.619
httpa.mother,0.5413,0.5217,0.5263,0.619
httpb.mother,0.5413,0.5217,0.5263,0.619
dat1.mother,0.5413,0.5217,0.5263,0.619
dat1a.mother,0.5413,0.5217,0.5263,0.619
dat1b.mother,0.5413,0.5217,0.5263,0.619
comt.mother,1.0,1.0,1.0,1.0
comta.mother,0.5413,0.5217,0.5263,0.619
comtb.mother,0.5413,0.5217,0.5263,0.619
BDNF.mother,0.5413,0.5217,0.5395,0.619
BDNFa.mother,0.5413,0.5217,0.5395,0.619
BDNFb.mother,0.5413,0.5217,0.5395,0.619
FKBP5.mother,0.5413,0.5217,0.5395,0.619
FKBP5a.mother,0.5413,0.5217,0.5395,0.619
FKBP5b.mother,0.5413,0.5217,0.5395,0.619
POMC.mother,0.5413,0.5217,0.5395,0.619
POMCa.mother,0.5413,0.5217,0.5395,0.619
POMCb.mother,0.5413,0.5217,0.5395,0.619
GRbcl.mother,0.5413,0.5217,0.5395,0.619
GRbcla.mother,0.5413,0.5217,0.5395,0.619
GRbclb.mother,0.5413,0.5217,0.5395,0.619
DRD2.mother,0.5413,0.5217,0.5395,0.619
DRD2a.mother,0.5413,0.5217,0.5395,0.619
DRD2b.mother,0.5413,0.5217,0.5395,0.619
Maternal_positivity_T1,0.211,0.1304,0.0789,0.0
Maternal_positivity_T3,0.0367,0.0,0.0132,0.0476
maternal_sensitivityT4,0.4312,0.3913,0.4211,0.1905
Maternal_emp_new_T4,0.7156,0.7391,0.7237,0.5714
Maternal_positivity_T1T3T4,0.0,0.0,0.0,0.0
Maternal_positivity_T1T3T4_BINARY,0.0,0.0,0.0,0.0
Mother_Intrusiveness_T1,0.211,0.1304,0.0789,0.0
Mother_Intrusiveness_T3,0.0367,0.0,0.0132,0.0476
Mother_Intrusiveness_T4,0.4312,0.3913,0.4211,0.1905
Mother_Intrusiveness_T1T3T4,0.0,0.0,0.0,0.0
child_Involvement_T1,0.211,0.1304,0.0789,0.0
child_Involvement_T3,0.0367,0.0,0.0132,0.0476
child_Involvement_T4,0.4312,0.3913,0.4211,0.1905
child_Involvement_T1T3T4,0.0,0.0,0.0,0.0
child_Withdrawal_T1,0.211,0.1304,0.0789,0.0
child_Withdrawal_T3,0.0367,0.0,0.0132,0.0476
child_Withdrawal_T4,0.4312,0.3913,0.4211,0.1905
child_Withdrawal_T1T3T44,0.0,0.0,0.0,0.0
Dyad_Reciprocity_T1,0.211,0.1304,0.0789,0.0
Dyad_Reciprocity_T3,0.0367,0.0,0.0132,0.0476
Dyad_Reciprocity_T4,0.4312,0.3913,0.4211,0.1905
Dyad_Reciprocity_T1T3T4,0.0,0.0,0.0,0.0
Dyad_Negative_T1,0.211,0.1304,0.0789,0.0
Dyad_Negative_T3,0.0367,0.0,0.0132,0.0476
Dyad_Negative_T4,0.4312,0.3913,0.4211,0.1905
Dyad_Negative_T1T3T4,0.0,0.0,0.0,0.0
PrimaryLast,0.0,0.0,0.0,0.0
filter_$,0.4954,0.5217,0.5395,0.4444
